Company_name,Post,Opening_date,Closing_date,Job_link:- http://topjobs.lk/applicant/vacancybyfunctionalarea.jsp?FA=AGD
MJF Group,Senior Executive - Programmes - Dilmah Conservation (1), Fri Sep 30 2022, Tue Oct 11 2022,
Thalahena Agri Business ,Farm Manager  , Fri Sep 30 2022, Tue Oct 11 2022,
Rathna Agro Plantation (Pvt) Ltd,Manager - Mango Plantation / Field Officers , Fri Sep 30 2022, Tue Oct 11 2022,
Rathna Group of Companies,Food Technologist , Fri Sep 30 2022, Tue Oct 11 2022,
Santani Wellness Resort and Spa,Farm Manager , Fri Sep 30 2022, Tue Oct 11 2022,
BLUESTEPS,Assistant Manager - Business Development (Export Market for Organic Food & Beverage Products) (1), Fri Sep 30 2022, Tue Oct 11 2022,
Sarabhumi Lanka Bio Products (Pvt) Ltd,Executive - Administrative  , Fri Sep 30 2022, Tue Oct 11 2022,
Ethimale Plantation (Pvt) Ltd,Agriculture Resident Manager , Fri Sep 30 2022, Tue Oct 11 2022,
Upcot Green Fields (Pvt) Ltd,Creeper Trainee - Maskeliya Upcot , Fri Sep 30 2022, Tue Oct 11 2022,
Ceylon Cold Stores PLC,Executive - Quality Assurance (1), Fri Sep 30 2022, Tue Oct 11 2022,
GT Agro,Assistant Farm Manager , Fri Sep 30 2022, Tue Oct 11 2022,
Otium (Pvt) Ltd,Agriculture Specialist , Fri Sep 30 2022, Tue Oct 11 2022,
Ceylon Fresh Fields Exports (Private) Limited,Agronomists , Fri Sep 30 2022, Tue Oct 11 2022,
MJF Group,Senior Executive - Programmes - Dilmah Conservation , Fri Sep 30 2022, Tue Oct 11 2022,
Shaw Wallace Ceylon Ltd (Ekala),"Agriculture Extension Executive (Cassava, Grains, Spices) ", Fri Sep 30 2022, Tue Oct 11 2022,
Jay Jay Mills Lanka (Pvt) Ltd,Executive - Agriculture , Fri Sep 30 2022, Tue Oct 11 2022,
Ultrakil Pest Management Co. (Pvt) Ltd,Pest Management Executive  , Fri Sep 30 2022, Tue Oct 11 2022,
Cargills (Ceylon) PLC,Field Extension Officer  , Fri Sep 30 2022, Tue Oct 11 2022,
Berendina Micro Investments Company,"Branch in Charge (Badulla, Nuwara Eliya and Chavakachcheri District) ", Fri Sep 30 2022, Tue Oct 11 2022,
